date,title,time,location,category,description,rsvp
2026-07-12,Summer Kottu Cookout,1:00 PM – 4:00 PM,"Boom Island Park, Minneapolis",Social,"Beat the summer heat with us — kottu off the griddle, lawn cricket, and good company by the river. All friends and family welcome.",
2026-08-23,Welcome Week Tabling,11:00 AM – 3:00 PM,"Coffman Memorial Union, Great Hall",Meeting,"New to campus? Stop by our table during Welcome Week to meet the board, grab a snack, and learn what SLSA is all about.",
2026-09-05,Fall Welcome Mixer,6:00 PM – 8:00 PM,"Coffman Memorial Union, Room 324",Social,"Our first big social of the year. Meet fellow Sri Lankan students and friends of the island over short eats and games.",
2026-09-20,Sri Lankan Food Night,6:30 PM – 9:00 PM,"St. Paul Student Center, North Star Ballroom",Food,"Egg hoppers, string hoppers, kottu, and watalappan for dessert. Our most popular event of the semester — RSVP so we cook enough!",https://forms.gle/your-rsvp-link
2026-10-04,Cricket Watch Party,9:00 AM – 1:00 PM,"Bruininks Hall, Room 131A",Sports,"Big match, big screen, big snacks. Wear your colours and come cheer with us. Chai and short eats provided.",
2026-10-18,Cultural Showcase — Open Practice,2:00 PM – 5:00 PM,"Barbara Barker Center for Dance, Studio 100",Cultural,"Learning a dance or song for our end-of-year showcase? Come to open practice — no experience needed, just bring energy.",
2026-11-08,Deepavali Celebration,5:30 PM – 8:30 PM,"Coffman Memorial Union, Mississippi Room",Cultural,"Celebrate the festival of lights with us — sweets, diyas, music, and community. Open to everyone.",https://forms.gle/your-rsvp-link
2026-11-22,Sigiriya Trivia & Chai Night,7:00 PM – 9:00 PM,"Walter Library, Room 402",Social,"How well do you know the pearl of the Indian Ocean? Team trivia, prizes, and bottomless chai to keep you warm.",
2026-12-06,End-of-Semester Study Break,4:00 PM – 6:00 PM,"Bruininks Hall, Room 220",Social,"Finals are coming. Take a breather with us — tea, short eats, and a moment to destress before the grind.",
2027-04-13,Avurudu — Sinhala & Tamil New Year,12:00 PM – 4:00 PM,"McNamara Alumni Center, Memorial Hall",Cultural,"Our biggest celebration of the year. Traditional games, kiribath and kavum, music, and the warmth of home. Bring everyone you know.",https://forms.gle/your-rsvp-link
